,index,vehicle,timestart,timestop,detected_berth,computed_berths_for_vehicle,route,status,remarks,enter_terminal,exit_terminal,time_to_berth,time_from_berth
5,40,9031005918308622,2022-03-22 07:01:15,2022-03-22 07:05:03,C3,"['C1', 'C3']","['530', '522', '521']",confirmed,{},1647928856.0,1647929171.0,19.0,68.0
6,51,9031005920505509,2022-03-22 07:02:35,2022-03-22 07:06:02,B3,"['B3', 'A4']","['5', '5', '5']",confirmed,{},1647928926.0,1647929231.0,29.0,69.0
7,57,9031005920505505,2022-03-22 07:02:37,2022-03-22 07:05:30,C5,"['C5', 'C4']","['16', '16', '16']",confirmed,{},1647928941.0,1647929190.0,16.0,60.0
8,63,9031005920505666,2022-03-22 07:02:51,2022-03-22 07:04:50,D1,"['A6', 'D1', 'A2', 'A3']","['2', '23', '1', '1']",confirmed,{},1647928960.0,1647929175.0,11.0,85.0
9,68,9031005920505651,2022-03-22 07:03:18,2022-03-22 07:05:09,A2,"['A2', 'A3']","['1', '1', '1']",confirmed,{},1647928966.0,1647929160.0,32.0,51.0
10,79,9031005920505646,2022-03-22 07:04:23,2022-03-22 07:04:38,A6,['A6'],"['4', '2', '2', '4']",confirmed,{},1647929025.0,1647929249.0,38.0,171.0
11,88,9031005920505669,2022-03-22 07:05:30,2022-03-22 07:11:02,A5,['A5'],"['3', '3', '3']",confirmed,{},1647929085.0,1647929551.0,45.0,89.0
12,93,9031005920505663,2022-03-22 07:05:50,2022-03-22 07:10:02,A3,"['A3', 'A2', 'D1']","['1', '1', '20']",confirmed,{},1647929095.0,1647929485.0,55.0,83.0
13,107,9031005920505515,2022-03-22 07:07:20,2022-03-22 07:08:38,A4,"['A4', 'B3']","['5', '5', '5']",confirmed,{},1647929214.0,1647929382.0,26.0,64.0
14,113,9031005920505665,2022-03-22 07:08:20,2022-03-22 07:09:53,B2,"['B2', 'B4']","['13', '13']",confirmed,{},1647929261.0,1647929469.0,39.0,76.0
15,116,9031005920505759,2022-03-22 07:08:38,2022-03-22 07:09:54,B1,"['B1', 'E2']","['10', '10', '10']",confirmed,{},1647929265.0,1647929457.0,53.0,63.0
16,130,9031005920505757,2022-03-22 07:09:36,2022-03-22 07:16:03,B5,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{},1647929347.0,1647929819.0,29.0,56.0
17,122,9031005920505500,2022-03-22 07:09:39,2022-03-22 07:10:12,A1,"['A1', 'C5', 'C4']","['14', '16', '16']",confirmed,{},1647929335.0,1647929476.0,44.0,64.0
18,135,9031005920505658,2022-03-22 07:09:51,2022-03-22 07:10:59,C4,"['C4', 'B5', 'D1']","['16', '14', '18', '20']",confirmed,{},1647929359.0,1647929504.0,32.0,45.0
19,82,9031005920505646,2022-03-22 07:10:03,2022-03-22 07:14:13,A6,['A6'],"['4', '2', '2', '4']",confirmed,{},1647929286.0,1647929705.0,117.0,52.0
21,141,9031005920505744,2022-03-22 07:10:38,2022-03-22 07:10:50,E2,"['E2', 'B1', 'B5']","['10', '10', '10', '18']",confirmed,{},1647929351.0,1647929461.0,87.0,11.0
22,151,9031005920505514,2022-03-22 07:12:57,2022-03-22 07:15:01,A2,"['A2', 'A3']","['1', '1', '1']",confirmed,{},1647929537.0,1647929753.0,40.0,52.0
23,156,9031005920505746,2022-03-22 07:13:11,2022-03-22 07:18:13,B2,['B2'],"['11', '11', '11', '11', '11', '11']",confirmed,{},1647929552.0,1647929931.0,39.0,38.0
24,162,9031005920505731,2022-03-22 07:14:07,2022-03-22 07:20:05,A1,"['A1', 'D1']","['15', '15', '15', '20']",confirmed,{},1647929601.0,1647930052.0,46.0,47.0
25,178,9031005920505511,2022-03-22 07:16:09,2022-03-22 07:17:51,A4,"['A4', 'B3']","['5', '5', '5']",confirmed,{},1647929741.0,1647929938.0,28.0,67.0
26,183,9031005918308829,2022-03-22 07:16:10,2022-03-22 07:20:18,C3,['C3'],"['521', '521', '521']",confirmed,{},1647929737.0,1647930080.0,33.0,62.0
27,198,9031005920505675,2022-03-22 07:17:20,2022-03-22 07:23:13,A5,"['A5', 'C4']","['3', '3', '3', '21']",confirmed,{},1647929812.0,1647930283.0,28.0,90.0
28,194,9031005920505506,2022-03-22 07:17:44,2022-03-22 07:22:18,B4,"['B4', 'B2']","['13', '13', '13']",confirmed,{},1647929822.0,1647930181.0,42.0,43.0
29,217,9031005920505516,2022-03-22 07:18:36,2022-03-22 07:22:12,D1,"['A6', 'D1', 'A5', 'C5']","['4', '20', '3', '3', '3', '17']",confirmed,{},1647929903.0,1647930272.0,13.0,140.0
30,208,9031005920505510,2022-03-22 07:19:33,2022-03-22 07:19:59,B3,"['B3', 'A4']","['5', '5', '5']",confirmed,{},1647929935.0,1647930059.0,38.0,60.0
31,223,9031005920505743,2022-03-22 07:20:20,2022-03-22 07:23:09,E1,"['E1', 'B5']","['6', '6', '18']",confirmed,{},1647929911.0,1647930265.0,109.0,76.0
32,236,9031005920505736,2022-03-22 07:21:03,2022-03-22 07:28:06,A1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",confirmed,{},1647929975.0,1647930510.0,88.0,24.0
33,245,9031005920505758,2022-03-22 07:21:57,2022-03-22 07:25:03,B1,"['B1', 'E2']","['10', '10']",confirmed,{},1647930057.0,1647930337.0,60.0,34.0
34,249,9031005920505668,2022-03-22 07:22:07,2022-03-22 07:25:00,B2,"['B2', 'B4']","['13', '13', '13']",confirmed,{},1647930096.0,1647930348.0,31.0,48.0
35,254,9031005920505735,2022-03-22 07:22:13,2022-03-22 07:24:59,B5,"['B5', 'D1']","['14', '18', '20']",confirmed,{},1647930115.0,1647930358.0,18.0,59.0
36,261,9031005920505649,2022-03-22 07:22:40,2022-03-22 07:25:07,A2,"['A2', 'A3']","['1', '1', '1']",confirmed,{},1647930120.0,1647930355.0,40.0,48.0
37,231,9031005920505667,2022-03-22 07:23:09,2022-03-22 07:25:28,D1,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",confirmed,{},1647930180.0,1647930378.0,9.0,50.0
38,269,9031005920505676,2022-03-22 07:23:47,2022-03-22 07:25:07,B6,"['B6', 'A6']","['12', '12', '12', '4']",confirmed,{},1647930205.0,1647930374.0,22.0,67.0
39,273,9031005920505503,2022-03-22 07:23:52,2022-03-22 07:30:07,A3,"['A3', 'B3', 'A4']","['1', '5', '5']",confirmed,{},1647930197.0,1647930684.0,35.0,77.0
40,266,9031005920505751,2022-03-22 07:24:49,2022-03-22 07:25:18,E2,"['E2', 'B1']","['10', '10']",confirmed,{},1647930191.0,1647930343.0,98.0,25.0
41,290,9031005918308718,2022-03-22 07:26:00,2022-03-22 07:35:02,C3,"['C1', 'C3']","['566', '522', '522']",confirmed,{},1647930339.0,1647930947.0,21.0,45.0
42,295,9031005918308733,2022-03-22 07:27:24,2022-03-22 07:32:40,C2,"['C1', 'C2']","['539', '520']",confirmed,{},1647930409.0,1647930817.0,35.0,57.0
43,286,9031005920505502,2022-03-22 07:27:39,2022-03-22 07:28:16,B3,"['B3', 'A4']","['5', '5', '5']",confirmed,{},1647930434.0,1647930591.0,25.0,95.0
44,297,9031005920505517,2022-03-22 07:27:49,2022-03-22 07:28:06,A4,"['A4', 'A2']","['5', '1']",confirmed,{},1647930441.0,1647930592.0,28.0,106.0
45,302,9031005920505659,2022-03-22 07:28:10,2022-03-22 07:35:14,A5,"['A5', 'B6']","['3', '3', '12']",confirmed,{},1647930461.0,1647930963.0,29.0,49.0
46,307,9031005920505504,2022-03-22 07:28:20,2022-03-22 07:30:03,A1,"['A1', 'C5']","['14', '16']",confirmed,{},1647930446.0,1647930678.0,54.0,75.0
47,310,9031005920505754,2022-03-22 07:28:21,2022-03-22 07:33:04,B2,['B2'],"['11', '11', '11', '11']",confirmed,{},1647930454.0,1647930840.0,47.0,56.0
48,238,9031005920505736,2022-03-22 07:30:50,2022-03-22 07:39:53,A1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",confirmed,{},1647930580.0,1647931240.0,70.0,47.0
49,315,9031005920505699,2022-03-22 07:31:19,2022-03-22 07:32:18,A6,"['A5', 'A6']","['3', '4', '4']",confirmed,{},1647930609.0,1647930833.0,70.0,95.0
50,333,9031005920505734,2022-03-22 07:32:06,2022-03-22 07:40:09,B5,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{'at_crossing': 'B4'},1647930691.0,1647931267.0,35.0,58.0
51,336,9031005920505653,2022-03-22 07:32:12,2022-03-22 07:33:02,C4,"['C4', 'B5', 'A5']","['16', '14', '18', '3']",confirmed,{},1647930713.0,1647930847.0,19.0,65.0
52,12,9031005920505673,2022-03-22 07:32:22,2022-03-22 07:35:47,A2,"['A3', 'A2']","['1', '1', '1', '1']",confirmed,{},1647930697.0,1647931031.0,45.0,84.0
53,216,9031005918308830,2022-03-22 07:32:53,2022-03-22 07:35:29,C2,"['C1', 'C2']","['39', '520']",confirmed,{'at_crossing': 'C1'},1647930731.0,1647930970.0,42.0,41.0
54,349,9031005920505732,2022-03-22 07:33:28,2022-03-22 07:36:55,D1,"['A1', 'D1', 'E1']","['15', '20', '572']",confirmed,{},1647930792.0,1647931097.0,16.0,82.0
55,353,9031005920505677,2022-03-22 07:33:30,2022-03-22 07:36:58,B4,"['B4', 'B2']","['13', '13']",confirmed,{},1647930777.0,1647931096.0,33.0,78.0
56,329,9031005920505655,2022-03-22 07:34:11,2022-03-22 07:38:00,A6,"['A6', 'B2']","['2', '11']",confirmed,{},1647930817.0,1647931147.0,34.0,67.0
57,357,9031005920505513,2022-03-22 07:34:29,2022-03-22 07:35:11,B3,"['B3', 'A4']","['5', '5']",confirmed,{'at_crossing': 'B2'},1647930834.0,1647931036.0,35.0,125.0
58,361,9031005920505756,2022-03-22 07:37:27,2022-03-22 07:40:08,B1,"['B1', 'E2']","['10', '10']",confirmed,{},1647931001.0,1647931244.0,46.0,36.0
59,364,9031005918308832,2022-03-22 07:37:48,2022-03-22 07:44:07,C3,"['C3', 'B4']","['521', '243']",confirmed,{},1647931047.0,1647931532.0,21.0,85.0
60,374,9031005920505654,2022-03-22 07:37:56,2022-03-22 07:40:24,B6,"['A5', 'B6']","['3', '12', '12', '12']",confirmed,{},1647931054.0,1647931278.0,22.0,54.0
61,381,9031005920505650,2022-03-22 07:38:50,2022-03-22 07:40:07,B2,"['B2', 'B4']","['13', '13']",confirmed,{},1647931101.0,1647931248.0,29.0,41.0
62,385,9031005920505662,2022-03-22 07:39:14,2022-03-22 07:45:34,A6,['A6'],"['2', '4', '4', '4']",confirmed,{},1647931135.0,1647931637.0,19.0,103.0
63,28,9031005920505688,2022-03-22 07:40:26,2022-03-22 07:47:54,B2,['B2'],"['11', '11', '11', '11']",confirmed,{},1647931146.0,1647931764.0,80.0,90.0
64,388,9031005920505681,2022-03-22 07:40:38,2022-03-22 07:41:09,C5,"['B6', 'C5']","['12', '17']",confirmed,{},1647931224.0,1647931342.0,14.0,73.0
65,390,9031005920505656,2022-03-22 07:40:59,2022-03-22 07:41:33,A3,"['A3', 'A2']","['1', '1']",confirmed,{},1647931229.0,1647931351.0,30.0,58.0
66,393,9031005920505755,2022-03-22 07:41:23,2022-03-22 07:42:07,E2,"['E2', 'B1']","['10', '10']",confirmed,{},1647931234.0,1647931343.0,49.0,16.0
67,377,9031005918308719,2022-03-22 07:42:01,2022-03-22 07:42:55,B6,"['C1', 'B6']","['540', '240', '566']",confirmed,{},1647931305.0,1647931428.0,16.0,53.0
68,397,9031005917108316,2022-03-22 07:42:05,2022-03-22 07:42:27,C1,"['C1', 'C2']","['65', '620']",confirmed,{},1647931293.0,1647931413.0,32.0,66.0
69,408,9031005920505501,2022-03-22 07:42:23,2022-03-22 07:42:52,A4,"['A4', 'B3']","['5', '5']",confirmed,{},1647931313.0,1647931424.0,30.0,52.0
70,65,9031005920505666,2022-03-22 07:42:42,2022-03-22 07:45:00,A2,"['A6', 'D1', 'A2', 'A3']","['2', '23', '1', '1']",confirmed,{},1647931319.0,1647931538.0,43.0,38.0
71,404,9031005918308724,2022-03-22 07:42:42,2022-03-22 07:50:01,C1,['C1'],['39'],confirmed,{},1647931299.0,1647931842.0,63.0,41.0
72,421,9031005920505698,2022-03-22 07:43:52,2022-03-22 07:47:03,A5,"['C5', 'A5']","['17', '3', '3', '3']",confirmed,{},1647931408.0,1647931683.0,24.0,60.0
73,424,9031005917108322,2022-03-22 07:43:55,2022-03-22 07:50:01,B6,"['C2', 'B6']","['520', '240']",confirmed,{},1647931416.0,1647931876.0,19.0,75.0
74,418,9031005920505508,2022-03-22 07:44:17,2022-03-22 07:46:42,B3,"['B3', 'A4']","['5', '5']",confirmed,{},1647931423.0,1647931671.0,34.0,69.0
75,431,9031005920505745,2022-03-22 07:45:27,2022-03-22 07:46:23,D1,"['E1', 'D1']","['6', '23']",confirmed,{},1647931513.0,1647931677.0,14.0,94.0
76,434,9031005918308625,2022-03-22 07:45:28,2022-03-22 07:45:51,C3,"['C3', 'C1']","['522', '539']",confirmed,{},1647931509.0,1647931648.0,19.0,97.0
77,439,9031005920505647,2022-03-22 07:45:30,2022-03-22 07:47:02,B5,"['B5', 'A6']","['14', '18', '2']",confirmed,{},1647931501.0,1647931746.0,29.0,124.0
78,368,9031005918308832,2022-03-22 07:47:07,2022-03-22 07:49:05,B4,"['C3', 'B4']","['521', '243']",confirmed,{},1647931570.0,1647931781.0,57.0,36.0
79,457,9031005920505674,2022-03-22 07:47:56,2022-03-22 07:49:57,C5,"['C5', 'C4']","['16', '16']",confirmed,{},1647931641.0,1647931868.0,35.0,71.0
80,60,9031005920505505,2022-03-22 07:47:57,2022-03-22 07:50:15,C4,"['C5', 'C4']","['16', '16', '16']",confirmed,{},1647931621.0,1647931892.0,56.0,77.0
81,460,9031005920505740,2022-03-22 07:47:59,2022-03-22 07:59:51,B5,"['B1', 'B5', 'A1']","['10', '18', '14']",confirmed,{},1647931658.0,1647932510.0,21.0,119.0
82,18,9031005920505664,2022-03-22 07:48:36,2022-03-22 07:50:29,A6,"['A5', 'A6']","['3', '3', '2', '2', '2']",confirmed,{},1647931693.0,1647931909.0,23.0,80.0
83,433,9031005920505745,2022-03-22 07:48:39,2022-03-22 07:54:41,D1,"['E1', 'D1']","['6', '23']",confirmed,{},1647931708.0,1647932151.0,11.0,70.0
84,324,9031005918308644,2022-03-22 07:49:11,2022-03-22 07:50:09,C3,['C3'],"['522', '521']",confirmed,{},1647931688.0,1647931860.0,63.0,51.0
85,133,9031005920505757,2022-03-22 07:49:50,2022-03-22 07:50:17,A1,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{},1647931736.0,1647931845.0,54.0,28.0
86,115,9031005920505665,2022-03-22 07:50:14,2022-03-22 07:52:23,B4,"['B2', 'B4']","['13', '13']",confirmed,{},1647931782.0,1647931990.0,32.0,47.0
87,53,9031005920505509,2022-03-22 07:50:34,2022-03-22 07:53:29,A4,"['B3', 'A4']","['5', '5', '5']",confirmed,{},1647931805.0,1647932072.0,29.0,63.0
88,70,9031005920505651,2022-03-22 07:50:46,2022-03-22 07:51:16,A3,"['A2', 'A3']","['1', '1', '1']",confirmed,{},1647931812.0,1647931913.0,34.0,37.0
89,473,9031005920505749,2022-03-22 07:50:50,2022-03-22 07:54:58,E2,['E2'],['10'],confirmed,{},1647931789.0,1647932128.0,61.0,30.0
90,7,9031005920505682,2022-03-22 07:52:09,2022-03-22 07:56:01,A6,['A6'],"['2', '2', '4', '4']",confirmed,{},1647931895.0,1647932248.0,34.0,87.0
91,85,9031005920505661,2022-03-22 07:52:22,2022-03-22 07:54:54,B2,"['B4', 'B2']","['13', '13', '13']",confirmed,{},1647931903.0,1647932158.0,39.0,64.0
92,402,9031005917108316,2022-03-22 07:52:56,2022-03-22 07:55:30,C2,"['C1', 'C2']","['65', '620']",confirmed,{},1647931939.0,1647932169.0,37.0,39.0
93,487,9031005920505697,2022-03-22 07:53:17,2022-03-22 07:55:09,B6,"['A5', 'B6']","['3', '12', '12', '12']",confirmed,{},1647931968.0,1647932236.0,29.0,127.0
94,109,9031005920505515,2022-03-22 07:53:43,2022-03-22 07:56:23,B3,"['A4', 'B3']","['5', '5', '5']",confirmed,{},1647931980.0,1647932254.0,43.0,71.0
95,490,9031005918308721,2022-03-22 07:53:46,2022-03-22 07:54:52,B4,"['B4', 'C4']","['243', '513']",confirmed,{},1647932002.0,1647932162.0,24.0,70.0
96,144,9031005920505744,2022-03-22 07:54:29,2022-03-22 07:55:00,B1,"['E2', 'B1', 'B5']","['10', '10', '10', '18']",confirmed,{},1647932020.0,1647932143.0,49.0,43.0
97,190,9031005920505507,2022-03-22 07:54:55,2022-03-22 07:55:33,A2,"['A3', 'A2']","['1', '1', '1']",confirmed,{},1647932055.0,1647932178.0,40.0,45.0
98,493,9031005920505648,2022-03-22 07:54:59,2022-03-22 07:59:00,A5,"['B5', 'A5']","['14', '3', '3', '3']",confirmed,{},1647932064.0,1647932386.0,35.0,46.0
99,486,9031005917108852,2022-03-22 07:55:55,2022-03-22 08:10:16,C2,['C2'],"['617', '616']",confirmed,{},1647931946.0,1647933075.0,209.0,59.0
100,495,9031005920505657,2022-03-22 07:56:13,2022-03-22 08:00:02,C4,"['B6', 'C4']","['12', '21']",confirmed,{},1647932155.0,1647932514.0,18.0,112.0
